regulator_symbol,regulator_id,target_symbol,target_id,database,evidence,confidence
TCF7L2,6934,MYC,4609,kegg,Experimental,High
TCF7L2,6934,MMP7,4316,kegg,Experimental,High
TCF7L2,6934,MITF,4286,kegg,Experimental,High
TCF7L2,6934,JUN,3725,kegg,Experimental,High
TCF7L2,6934,FOSL1,8061,kegg,Experimental,High
TCF7L2,6934,CCND3,896,kegg,Experimental,High
TCF7L2,6934,CCND2,894,kegg,Experimental,High
TCF7L2,6934,CCND1,595,kegg,Experimental,High
TCF7L2,6934,BIRC5,332,kegg,Experimental,High
TCF7L2,6934,BIRC5,332,kegg,Experimental,High
TCF7L2,6934,CCND1,595,kegg,Experimental,High
TCF7L2,6934,CREBBP,1387,kegg,Experimental,High
TCF7L2,6934,CTBP1,1487,kegg,Experimental,High
TCF7L2,6934,CTBP2,1488,kegg,Experimental,High
TCF7L2,6934,CTNNB1,1499,"hprd,kegg",Experimental,High
TCF7L2,6934,EP300,2033,"hprd,kegg",Experimental,High
TCF7L2,6934,JUP,3728,"hprd,kegg",Experimental,High
TCF7L2,6934,MYC,4609,kegg,Experimental,High
TCF7L2,6934,NLK,51701,kegg,Experimental,High
TCF7L2,6934,RUVBL1,8607,kegg,Experimental,High
TCF7L2,6934,SMAD4,4089,kegg,Experimental,High
TCF7L2,6934,SOX17,64321,kegg,Experimental,High
ATF3,467,ZZEF1,23140,ucsc,Predicted,Low
ATF3,467,ZWILCH,55055,ucsc,Predicted,Low
ATF3,467,ZNF746,155061,ucsc,Predicted,Low
ATF3,467,ZNF711,7552,ucsc,Predicted,Low
ATF3,467,ZNF593,51042,ucsc,Predicted,Low
ATF3,467,ZNF576,79177,ucsc,Predicted,Low
ATF3,467,ZNF503-AS2,100131213,ucsc,Predicted,Low
ATF3,467,ZNF438,220929,ucsc,Predicted,Low
ATF3,467,ZNF367,195828,ucsc,Predicted,Low
ATF3,467,ZNF295,49854,ucsc,Predicted,Low
ATF3,467,ZNF184,7738,ucsc,Predicted,Low
ATF3,467,ZMIZ1,57178,ucsc,Predicted,Low
ATF3,467,ZIM2,23619,ucsc,Predicted,Low
ATF3,467,ZIC4,84107,ucsc,Predicted,Low
ATF3,467,ZHX2,22882,ucsc,Predicted,Low
ATF3,467,ZFY,7544,ucsc,Predicted,Low
ATF3,467,ZFX,7543,ucsc,Predicted,Low
ATF3,467,ZFP36L2,678,ucsc,Predicted,Low
ATF3,467,ZFHX3,463,ucsc,Predicted,Low
ATF3,467,ZCWPW1,55063,ucsc,Predicted,Low
ATF3,467,ZBTB7A,51341,ucsc,Predicted,Low
ATF3,467,ZBTB33,10009,ucsc,Predicted,Low
ATF3,467,YY1,7528,ucsc,Predicted,Low
ATF3,467,YTHDF1,54915,ucsc,Predicted,Low
ATF3,467,YTHDC1,91746,ucsc,Predicted,Low
ATF3,467,YME1L1,10730,ucsc,Predicted,Low
ATF3,467,YIF1B,90522,ucsc,Predicted,Low
ATF3,467,XPO7,23039,ucsc,Predicted,Low
ATF3,467,XK,7504,ucsc,Predicted,Low
ATF3,467,WNT2,7472,ucsc,Predicted,Low
ATF3,467,WNT11,7481,ucsc,Predicted,Low
ATF3,467,WNT10A,80326,ucsc,Predicted,Low
ATF3,467,WFDC3,140686,ucsc,Predicted,Low
ATF3,467,WDR26,80232,ucsc,Predicted,Low
ATF3,467,WBSCR28,135886,ucsc,Predicted,Low
ATF3,467,WBP5,51186,ucsc,Predicted,Low
ATF3,467,VWA7,80737,ucsc,Predicted,Low
ATF3,467,VIP,7432,ucsc,Predicted,Low
ATF3,467,VAMP3,9341,ucsc,Predicted,Low
ATF3,467,USP8,9101,ucsc,Predicted,Low
ATF3,467,USP25,29761,ucsc,Predicted,Low
ATF3,467,USP2,9099,ucsc,Predicted,Low
ATF3,467,UNK,85451,ucsc,Predicted,Low
ATF3,467,UNCX,340260,ucsc,Predicted,Low
ATF3,467,ULK2,9706,ucsc,Predicted,Low
ATF3,467,UCK2,7371,ucsc,Predicted,Low
ATF3,467,UBQLN1,29979,ucsc,Predicted,Low
ATF3,467,UBN2,254048,ucsc,Predicted,Low
ATF3,467,UBA6,55236,ucsc,Predicted,Low
ATF3,467,UBA52,7311,ucsc,Predicted,Low
ATF3,467,UAP1,6675,ucsc,Predicted,Low
ATF3,467,TYMP,1890,ucsc,Predicted,Low
ATF3,467,TXNDC5,81567,ucsc,Predicted,Low
ATF3,467,TUBGCP2,10844,ucsc,Predicted,Low
ATF3,467,TTLL5,23093,ucsc,Predicted,Low
ATF3,467,TSSK3,81629,ucsc,Predicted,Low
ATF3,467,TSPYL1,7259,ucsc,Predicted,Low
ATF3,467,TSPAN31,6302,ucsc,Predicted,Low
ATF3,467,TSHZ1,10194,ucsc,Predicted,Low
ATF3,467,TRPC6,7225,ucsc,Predicted,Low
ATF3,467,TRMT2A,27037,ucsc,Predicted,Low
ATF3,467,TRIM66,9866,ucsc,Predicted,Low
ATF3,467,TRIM65,201292,ucsc,Predicted,Low
ATF3,467,TRAPPC10,7109,ucsc,Predicted,Low
ATF3,467,TRAP1,10131,ucsc,Predicted,Low
ATF3,467,TRAK1,22906,ucsc,Predicted,Low
ATF3,467,TRAIP,10293,ucsc,Predicted,Low
ATF3,467,TOM1,10043,ucsc,Predicted,Low
ATF3,467,TOB1,10140,ucsc,Predicted,Low
ATF3,467,TNKS1BP1,85456,ucsc,Predicted,Low
ATF3,467,TMTC4,84899,ucsc,Predicted,Low
ATF3,467,TMEM86A,144110,ucsc,Predicted,Low
ATF3,467,TMEM66,51669,ucsc,Predicted,Low
ATF3,467,TMEM175,84286,ucsc,Predicted,Low
ATF3,467,TMEM151A,256472,ucsc,Predicted,Low
ATF3,467,TMEM147,10430,ucsc,Predicted,Low
ATF3,467,TM9SF4,9777,ucsc,Predicted,Low
ATF3,467,TM9SF3,56889,ucsc,Predicted,Low
ATF3,467,TM9SF2,9375,ucsc,Predicted,Low
ATF3,467,TLE3,7090,ucsc,Predicted,Low
ATF3,467,TH,7054,ucsc,Predicted,Low
ATF3,467,TGIF2-C20ORF24,100527943,ucsc,Predicted,Low
ATF3,467,TGIF2,60436,ucsc,Predicted,Low
ATF3,467,TDG,6996,ucsc,Predicted,Low
ATF3,467,TCEAL7,56849,ucsc,Predicted,Low
ATF3,467,TBX5,6910,ucsc,Predicted,Low
ATF3,467,TBC1D10A,83874,ucsc,Predicted,Low
ATF3,467,TAPT1,202018,ucsc,Predicted,Low
ATF3,467,TAF2,6873,ucsc,Predicted,Low
ATF3,467,SYN1,6853,ucsc,Predicted,Low
ATF3,467,SWI5,375757,ucsc,Predicted,Low
ATF3,467,SURF2,6835,ucsc,Predicted,Low
ATF3,467,SULT4A1,25830,ucsc,Predicted,Low
ATF3,467,STX5,6811,ucsc,Predicted,Low
ATF3,467,STUB1,10273,ucsc,Predicted,Low
ATF3,467,STIM1,6786,ucsc,Predicted,Low
ATF3,467,STAT3,6774,ucsc,Predicted,Low
ATF3,467,STAMBP,10617,ucsc,Predicted,Low
ATF3,467,SSTR5,6755,ucsc,Predicted,Low
ATF3,467,SSTR2,6752,ucsc,Predicted,Low
ATF3,467,SSBP3,23648,ucsc,Predicted,Low
ATF3,467,SS18L1,26039,ucsc,Predicted,Low
ATF3,467,SRSF1,6426,ucsc,Predicted,Low
ATF3,467,SRPR,6734,ucsc,Predicted,Low
ATF3,467,SRP54,6729,ucsc,Predicted,Low
ATF3,467,SREBF1,6720,ucsc,Predicted,Low
ATF3,467,SPI1,6688,ucsc,Predicted,Low
ATF3,467,SPAG7,9552,ucsc,Predicted,Low
ATF3,467,SPACA5B,729201,ucsc,Predicted,Low
ATF3,467,SPACA5,389852,ucsc,Predicted,Low
ATF3,467,SNX16,64089,ucsc,Predicted,Low
ATF3,467,SNORD84,692199,ucsc,Predicted,Low
ATF3,467,SNORA28,677811,ucsc,Predicted,Low
ATF3,467,SND1,27044,ucsc,Predicted,Low
ATF3,467,SNCAIP,9627,ucsc,Predicted,Low
ATF3,467,SNAP25,6616,ucsc,Predicted,Low
ATF3,467,SMARCD1,6602,ucsc,Predicted,Low
ATF3,467,SMAD1,4086,ucsc,Predicted,Low
ATF3,467,SLITRK2,84631,ucsc,Predicted,Low
ATF3,467,SLC8A3,6547,ucsc,Predicted,Low
ATF3,467,SLC7A3,84889,ucsc,Predicted,Low
ATF3,467,SLC5A7,60482,ucsc,Predicted,Low
ATF3,467,SLC44A4,80736,ucsc,Predicted,Low
ATF3,467,SLC39A5,283375,ucsc,Predicted,Low
ATF3,467,SLC27A3,11000,ucsc,Predicted,Low
ATF3,467,SLC25A46,91137,ucsc,Predicted,Low
ATF3,467,SLC25A3,5250,ucsc,Predicted,Low
ATF3,467,SKP1,6500,ucsc,Predicted,Low
ATF3,467,SKIL,6498,ucsc,Predicted,Low
ATF3,467,SIRT2,22933,ucsc,Predicted,Low
ATF3,467,SIK3,23387,ucsc,Predicted,Low
ATF3,467,SIK2,23235,ucsc,Predicted,Low
ATF3,467,SIK1,150094,ucsc,Predicted,Low
ATF3,467,SIDT2,51092,ucsc,Predicted,Low
ATF3,467,SIDT1,54847,ucsc,Predicted,Low
ATF3,467,SHC3,53358,ucsc,Predicted,Low
ATF3,467,SHANK1,50944,ucsc,Predicted,Low
ATF3,467,SH2D2A,9047,ucsc,Predicted,Low
ATF3,467,SEZ6L2,26470,ucsc,Predicted,Low
ATF3,467,SETD5,55209,ucsc,Predicted,Low
ATF3,467,SECISBP2,79048,ucsc,Predicted,Low
ATF3,467,SEC24A,10802,ucsc,Predicted,Low
ATF3,467,SCXB,642658,ucsc,Predicted,Low
ATF3,467,SCXA,100129885,ucsc,Predicted,Low
ATF3,467,SCO2,9997,ucsc,Predicted,Low
ATF3,467,SCG3,29106,ucsc,Predicted,Low
ATF3,467,SASH1,23328,ucsc,Predicted,Low
ATF3,467,SAMD4B,55095,ucsc,Predicted,Low
ATF3,467,SAFB2,9667,ucsc,Predicted,Low
ATF3,467,S1PR2,9294,ucsc,Predicted,Low
ATF3,467,RUSC1,23623,ucsc,Predicted,Low
ATF3,467,RUNDC3A,10900,ucsc,Predicted,Low
ATF3,467,RPS27,6232,ucsc,Predicted,Low
ATF3,467,RPS18,6222,ucsc,Predicted,Low
ATF3,467,RPRD1A,55197,ucsc,Predicted,Low
ATF3,467,RPLP0P2,113157,ucsc,Predicted,Low
ATF3,467,RORA,6095,ucsc,Predicted,Low
ATF3,467,RNF7,9616,ucsc,Predicted,Low
ATF3,467,RNF44,22838,ucsc,Predicted,Low
ATF3,467,RNF40,9810,ucsc,Predicted,Low
ATF3,467,RNF32,140545,ucsc,Predicted,Low
ATF3,467,RLIM,51132,ucsc,Predicted,Low
ATF3,467,RIOK1,83732,ucsc,Predicted,Low
ATF3,467,RING1,6015,ucsc,Predicted,Low
ATF3,467,RIC8B,55188,ucsc,Predicted,Low
ATF3,467,RHBDL1,9028,ucsc,Predicted,Low
ATF3,467,RGL2,5863,ucsc,Predicted,Low
ATF3,467,RFT1,91869,ucsc,Predicted,Low
ATF3,467,RELT,84957,ucsc,Predicted,Low
ATF3,467,REEP4,80346,ucsc,Predicted,Low
ATF3,467,RCE1,9986,ucsc,Predicted,Low
ATF3,467,RASAL1,8437,ucsc,Predicted,Low
ATF3,467,RAD51C,5889,ucsc,Predicted,Low
ATF3,467,RAB7A,7879,ucsc,Predicted,Low
ATF3,467,RAB37,326624,ucsc,Predicted,Low
ATF3,467,RAB2A,5862,ucsc,Predicted,Low
ATF3,467,RAB11FIP3,9727,ucsc,Predicted,Low
ATF3,467,PYY,5697,ucsc,Predicted,Low
ATF3,467,PTPN2,5771,ucsc,Predicted,Low
ATF3,467,PTPN14,5784,ucsc,Predicted,Low
ATF3,467,PSMB5,5693,ucsc,Predicted,Low
ATF3,467,PSD3,23362,ucsc,Predicted,Low
ATF3,467,PRRT2,112476,ucsc,Predicted,Low
ATF3,467,PRR3,80742,ucsc,Predicted,Low
ATF3,467,PRR14,78994,ucsc,Predicted,Low
ATF3,467,PRPF40A,55660,ucsc,Predicted,Low
ATF3,467,PRKCE,5581,ucsc,Predicted,Low
ATF3,467,PREPL,9581,ucsc,Predicted,Low
ATF3,467,PREP,5550,ucsc,Predicted,Low
ATF3,467,PRELID1,27166,ucsc,Predicted,Low
ATF3,467,PPP4R2,151987,ucsc,Predicted,Low
ATF3,467,PPP2R5B,5526,ucsc,Predicted,Low
ATF3,467,PPP1R3F,89801,ucsc,Predicted,Low
ATF3,467,PPP1R12C,54776,ucsc,Predicted,Low
ATF3,467,PPM1K,152926,ucsc,Predicted,Low
ATF3,467,PPIG,9360,ucsc,Predicted,Low
ATF3,467,PPARD,5467,ucsc,Predicted,Low
ATF3,467,POLE4,56655,ucsc,Predicted,Low
ATF3,467,PNMA6D,100287466,ucsc,Predicted,Low
ATF3,467,PNMA6C,100287428,ucsc,Predicted,Low
ATF3,467,PNMA6A,84968,ucsc,Predicted,Low
ATF3,467,PNMA3,29944,ucsc,Predicted,Low
ATF3,467,PMEL,6490,ucsc,Predicted,Low
ATF3,467,PLSCR3,57048,ucsc,Predicted,Low
ATF3,467,PLCB3,5331,ucsc,Predicted,Low
ATF3,467,PKP4,8502,ucsc,Predicted,Low
ATF3,467,PKNOX2,63876,ucsc,Predicted,Low
ATF3,467,PJA2,9867,ucsc,Predicted,Low
ATF3,467,PIP4K2B,8396,ucsc,Predicted,Low
ATF3,467,PINX1,54984,ucsc,Predicted,Low
ATF3,467,PI4K2B,55300,ucsc,Predicted,Low
ATF3,467,PHPT1,29085,ucsc,Predicted,Low
ATF3,467,PHACTR3,116154,ucsc,Predicted,Low
ATF3,467,PGS1,9489,ucsc,Predicted,Low
ATF3,467,PFDN6,10471,ucsc,Predicted,Low
ATF3,467,PEX5,5830,ucsc,Predicted,Low
ATF3,467,PET117,100303755,ucsc,Predicted,Low
ATF3,467,PER1,5187,ucsc,Predicted,Low
ATF3,467,PEG3,5178,ucsc,Predicted,Low
ATF3,467,PDLIM3,27295,ucsc,Predicted,Low
ATF3,467,PCYT1A,5130,ucsc,Predicted,Low
ATF3,467,PCDHAC2,56134,ucsc,Predicted,Low
ATF3,467,PCDH9,5101,ucsc,Predicted,Low
ATF3,467,PCDH7,5099,ucsc,Predicted,Low
ATF3,467,PAX6,5080,ucsc,Predicted,Low
ATF3,467,PARD6A,50855,ucsc,Predicted,Low
ATF3,467,PAQR4,124222,ucsc,Predicted,Low
ATF3,467,PAK1,5058,ucsc,Predicted,Low
ATF3,467,PAG1,55824,ucsc,Predicted,Low
ATF3,467,PACRGL,133015,ucsc,Predicted,Low
ATF3,467,OXSR1,9943,ucsc,Predicted,Low
ATF3,467,OTUB2,78990,ucsc,Predicted,Low
