Gene ID,Gene Symbol,TF
ENSG00000010818.8,HIVEP2,MYBL2
ENSG00000011009.10,LYPLA2,MYBL2
ENSG00000011021.21,CLCN6,MYBL2
ENSG00000011052.21,NME1-NME2,MYBL2
ENSG00000011114.14,BTBD7,MYBL2
ENSG00000011132.11,APBA3,MYBL2
ENSG00000011143.16,MKS1,MYBL2
ENSG00000011198.7,ABHD5,MYBL2
ENSG00000011243.17,AKAP8L,MYBL2
ENSG00000011243.17,AKAP8L,MYBL2
ENSG00000011258.15,MBTD1,MYBL2
ENSG00000011260.13,UTP18,MYBL2
ENSG00000011275.18,RNF216,MYBL2
ENSG00000011295.15,TTC19,MYBL2
ENSG00000011304.18,PTBP1,MYBL2
ENSG00000011347.9,SYT7,MYBL2
ENSG00000011376.9,LARS2,MYBL2
ENSG00000011405.13,PIK3C2A,MYBL2
ENSG00000011426.10,ANLN,MYBL2
ENSG00000011454.16,RABGAP1,MYBL2
ENSG00000011454.16,RABGAP1,MYBL2
ENSG00000011478.11,QPCTL,MYBL2
ENSG00000011485.14,PPP5C,MYBL2
ENSG00000011523.13,CEP68,MYBL2
ENSG00000011566.14,MAP4K3,MYBL2
ENSG00000012048.20,BRCA1,MYBL2
ENSG00000012061.15,ERCC1,MYBL2
ENSG00000012174.11,MBTPS2,MYBL2
ENSG00000012660.13,ELOVL5,MYBL2
ENSG00000012817.15,KDM5D,MYBL2
ENSG00000012822.15,CALCOCO1,MYBL2
ENSG00000012963.14,UBR7,MYBL2
ENSG00000013275.7,PSMC4,MYBL2
ENSG00000013306.15,SLC25A39,MYBL2
ENSG00000013364.18,MVP,MYBL2
ENSG00000013375.15,PGM3,MYBL2
ENSG00000013392.7,RWDD2A,MYBL2
ENSG00000013441.15,CLK1,MYBL2
ENSG00000013503.9,POLR3B,MYBL2
ENSG00000013573.16,DDX11,MYBL2
ENSG00000013810.18,TACC3,MYBL2
ENSG00000014123.9,UFL1,MYBL2
ENSG00000014138.8,POLA2,MYBL2
ENSG00000014164.6,ZC3H3,MYBL2
ENSG00000014216.15,CAPN1,MYBL2
ENSG00000014641.17,MDH1,MYBL2
ENSG00000014919.12,COX15,MYBL2
ENSG00000015153.14,YAF2,MYBL2
ENSG00000015285.10,WAS,MYBL2
ENSG00000015479.17,MATR3,MYBL2
ENSG00000015520.14,NPC1L1,MYBL2
ENSG00000015532.9,XYLT2,MYBL2
ENSG00000015676.17,NUDCD3,MYBL2
ENSG00000016391.10,CHDH,MYBL2
ENSG00000016864.17,GLT8D1,MYBL2
ENSG00000017797.11,RALBP1,MYBL2
ENSG00000018189.12,RUFY3,MYBL2
ENSG00000018510.13,AGPS,MYBL2
ENSG00000018699.11,TTC27,MYBL2
ENSG00000019582.14,CD74,MYBL2
ENSG00000020129.15,NCDN,MYBL2
ENSG00000020426.10,MNAT1,MYBL2
ENSG00000020922.12,MRE11A,MYBL2
ENSG00000021355.12,SERPINB1,MYBL2
ENSG00000021461.16,CYP3A43,MYBL2
